File system;File system;Creator;Year of introduction;Original operating system;File system;Stores file owner;POSIX file permissions;Creation timestamps;Last access/ read timestamps;Last metadata change timestamps;Last archive timestamps;Access control lists;Security/ MAC labels;Extended attributes/ Alternate data streams/ forks;Metadata checksum/ ECC;File system;Hard links;Symbolic links;Block journaling;Metadata-only journaling;Case-sensitive;Case-preserving;File Change Log;XIP;Resident files (inline data);File system;Internal snapshotting / branching;Encryption;Deduplication;Data checksum/ ECC;Persistent Cache;Multiple Devices;Compression;Self-healing(aw);File system;Host OS;Offline grow;Online grow;Offline shrink;Online shrink;Add and remove physical volumes;File system;Sparse files;Block suballocation;Tail packing;Extents;Variable file block size(bj);Allocate-on-flush;Copy on write;Trim support;File system;DOS;Linux;macOS;Windows 9x;Windows NT;classic Mac OS;FreeBSD;OS/2;BeOS;Minix;Solaris;z/OS;Android(63);File system;Maximum filename length;Allowable characters in directory entries(bx);Maximum pathname length;Maximum file size;Maximum volume size(by);Max number of files
NILFS;NILFS;NTT;2005;Linux;NILFS;Yes;Yes;Yes;No;Yes;No;No;No;No;Yes;NILFS;Yes;Yes;Yes[aj];No;Yes;Yes;No;No;?;NILFS;Yes, continuous[aj];No;No;Yes;No;No;No;No;NILFS;Linux;No;Yes;No;Yes;No;NILFS;Yes;No;No;No;No;Yes;Yes;Yes (Linux NILFS2);NILFS;No;Yes as an external kernel module;?;No;?;?;No;?;?;?;?;?;No;NILFS;255 bytes;Any byte except NUL[bz];No limit defined[ca];8 EiB (9.223 EB);8 EiB (9.223 EB);?
Non-Volatile File System;Non-Volatile File System;Palm, Inc.;2004;Palm OS Garnet;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
NOVA;NOVA;UC, San Diego;2017;Linux;NOVA;Yes;Yes;Yes;Yes;Yes;No;No;No;No;Yes;NOVA;Yes;Yes;No;Yes;Yes;Yes;No;Yes;?;NOVA;Yes;No;No;Yes;No;No;No;?;NOVA;Linux;No;No;No;No;No;NOVA;Yes;No;No;Yes;No;No;Yes;?;NOVA;No;Yes;No;No;No;No;No;No;No;No;No;No;No;NOVA;255 bytes;Any byte except NUL, /[bz];No limit defined[ca];16 EiB (18.44 EB);16 EiB (18.44 EB);?
NSS;NSS;Novell;1998;NetWare 5;NSS;Yes;Yes;Yes[o];Yes[o];Yes;Yes[o];Yes;?;Yes[p][q];No;NSS;Yes;Yes;?;Yes;Yes[ap];Yes[ap];Yes[aq];No;?;NSS;Yes;Yes;?;No;No;No;Yes;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NSS;?;No;No;Yes;No;Yes;?;?;NSS;No;Yes via EVMS[bt];?;No;No;?;No;No;?;?;?;?;No;NSS;256 characters;Depends on namespace used[cq];Only limited by client;8 TiB (8.796 TB);8 TiB (8.796 TB);?
NTFS;NTFS;Microsoft (Gary Kimura, Tom Miller);1993;Windows NT 3.1;NTFS;Yes;Yes[g];Yes;Yes;Yes;No;Yes;Yes[h];Yes;No;NTFS;Yes;Yes[ab];No[ac];Yes[ac] (2000);Yes[ad];Yes;Yes;?;Yes (approximately 700 bytes);NTFS;No;Yes;Yes[ay][30];No;No;No;Yes;No;NTFS;Windows;Yes;Yes;Yes;Yes;No;NTFS;Yes;Partial;No;Yes;No;No;?;"Yes (NT 6.1+; Linux)";NTFS;Partial (with third-party drivers);Yes Native since Linux Kernel 5.15 NTFS3. Older kernels may use backported NTFS3 driver or ntfs-3g[67];Read only, write support needs Paragon NTFS or ntfs-3g;Needs 3rd-party drivers like Paragon NTFS for Win98, DiskInternals NTFS Reader;Yes;No;Yes with ntfs-3g;?;Yes with ntfs-3g;No;Yes with ntfs-3g;?;With third party tools;NTFS;255 characters;"In Win32 namespace: any UTF-16 code unit (case-insensitive) except /\:*""?<>| as well as NUL";32,767 Unicode characters with each path component (directory or filename) up to 255 characters long[ca];16 TiB (17.59 TB) to 8 PiB (9.007 PB)[cr][107];16 TiB (17.59 TB) to 8 PiB (9.007 PB)[cr][107];232
NTFS;NTFS;Microsoft (Gary Kimura, Tom Miller);1993;Windows NT 3.1;NTFS;Yes;Yes[g];Yes;Yes;Yes;No;Yes;Yes[h];Yes;No;NTFS;Yes;Yes[ab];No[ac];Yes[ac] (2000);Yes[ad];Yes;Yes;?;Yes (approximately 700 bytes);NTFS;No;Yes;Yes[ay][30];No;No;No;Yes;No;NTFS;Linux;Yes;No;Yes;No;No;NTFS;Yes;Partial;No;Yes;No;No;?;"Yes (NT 6.1+; Linux)";NTFS;Partial (with third-party drivers);Yes Native since Linux Kernel 5.15 NTFS3. Older kernels may use backported NTFS3 driver or ntfs-3g[67];Read only, write support needs Paragon NTFS or ntfs-3g;Needs 3rd-party drivers like Paragon NTFS for Win98, DiskInternals NTFS Reader;Yes;No;Yes with ntfs-3g;?;Yes with ntfs-3g;No;Yes with ntfs-3g;?;With third party tools;NTFS;255 characters;"In Win32 namespace: any UTF-16 code unit (case-insensitive) except /\:*""?<>| as well as NUL";32,767 Unicode characters with each path component (directory or filename) up to 255 characters long[ca];16 TiB (17.59 TB) to 8 PiB (9.007 PB)[cr][107];16 TiB (17.59 TB) to 8 PiB (9.007 PB)[cr][107];232
NWFS;NWFS;Novell;1985;NetWare 286;NWFS;Yes;?;Yes[o];Yes[o];Yes;Yes[o];Yes;?;Yes[p][q];No;NWFS;Yes[ar];Yes[ar];No;No;Yes[ap];Yes[ap];Yes[aq];No;?;NWFS;?;No;?;No;No;No;Yes;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NWFS;?;Yes(bq);No;No;No;No;?;?;NWFS;Partial (with Novell drivers);?;?;No;No;?;Yes;No;?;?;?;?;No;NWFS;80 bytes[cs];Depends on namespace used[cq];No limit defined[ca];4 GiB (4.294 GB);1 TiB (1.099 TB);?
OCFS;OCFS;Oracle Corporation;2002;Linux;OCFS;No;Yes;No;No;Yes;Yes;No;No;No;No;OCFS;No;Yes;No;No;Yes;Yes;No;No;?;OCFS;No;No;No;No;No;No;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;OCFS;?;No;No;Yes;No;No;?;?;OCFS;No;Yes;?;No;No;?;No;No;?;?;?;?;No;OCFS;255 bytes;Any byte except NUL[bz];No limit defined[ca];8 TiB (8.796 TB);8 TiB (8.796 TB);?
OCFS2;OCFS2;Oracle Corporation;2005;Linux;OCFS2;Yes;Yes;No;Yes;Yes;No;No;No;No;No;OCFS2;Yes;Yes;Yes;Yes;Yes;Yes;No;No;?;OCFS2;No;No;No;No;No;No;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;OCFS2;Yes;No;No;Yes;No;No;?;Yes (Linux);OCFS2;No;Yes;?;No;No;?;No;No;?;?;?;?;No;OCFS2;255 bytes;Any byte except NUL[bz];No limit defined[ca];4 PiB (4.503 PB);4 PiB (4.503 PB);?
ODS-1;ODS-1;DEC;1975;RSX-11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ODS-2;ODS-2;DEC;1979;OpenVMS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;ODS-2;Yes;Yes[as];No;Yes;No;No;Yes;No;?;ODS-2;Yes;No;No;No;No;No;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;ODS-2;No;?;?;No;No;?;No;No;?;?;?;?;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ODS-5;ODS-5;DEC;1998;OpenVMS V7.2;ODS-5;Yes;Yes;Yes;?;?;Yes;Yes;?;Yes[r];No;ODS-5;Yes;Yes[as];No;Yes;No;Yes;Yes;?;?;ODS-5;Yes;No;No;No;No;No;No;;NULL;NULL;NULL;NULL;NULL;NULL;NULL;ODS-5;?;No;No;Yes;No;No;?;?;ODS-5;No;?;?;No;No;?;No;No;?;?;?;?;No;ODS-5;236 bytes[ct];?;4,096 bytes[cu];1 TiB (1.099 TB);1 TiB (1.099 TB);?
OrangeFS;OrangeFS;Omnibond and others;2011;Linux;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
OS/3x0 FS;OS/3x0 FS;IBM;1964;OS/360;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
PolyServe File System (PSFS);PolyServe File System (PSFS);PolyServe;1998;Windows, Linux;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ProDOS;ProDOS;Apple;1980;Apple SOS (later ProDOS 8);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
QFS;QFS;Sun Microsystems;1996;Solaris;QFS;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;No;QFS;Yes;Yes;No;Yes;Yes;Yes;No;No;?;QFS;No;No;No;No;No;No;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;QFS;?;Yes;No;No;No;No;?;?;QFS;No;Partial - client only[81];?;No;No;?;No;No;?;?;Yes;?;No;QFS;255 bytes;Any byte except NUL[bz];No limit defined[ca];16 EiB (18.44 EB)[cv];4 PiB (4.503 PB)[cv];?
ReFS;ReFS;Microsoft;2012;Windows Server 2012;ReFS;Yes;Yes;Yes;Yes;Yes;No;Yes;?;Yes[i];Yes;ReFS;Yes[av];Yes;?;?;Yes[ad];Yes;?;?;?;ReFS;?;No;Yes;Yes[bg];No;No;No;Yes;ReFS;Windows;?;Yes;?;No;No;ReFS;Yes;?;?;?;No;?;Yes;Yes (NT 6.1+);ReFS;No;Needs Paragon ReFS for Linux;?;No;Yes (from Windows Server 2012 and from Windows 8.1);?;?;?;?;?;?;?;No;ReFS;255 UTF-16 characters[108];"In Win32 namespace: any UTF-16 code unit (case-insensitive) except /\:*""?<>| as well as NUL";32,767 Unicode characters with each path component (directory or filename) up to 255 characters long[108];16 EiB (18.44 EB)[108][110];1 YiB (1.208 YB)[108];?
Reiser4;Reiser4;Namesys;2004;Linux;Reiser4;Yes;Yes;No;Yes;Yes;No;No;No;No;No;Reiser4;Yes;Yes;Yes;No;Yes;Yes;No;?;?;Reiser4;?;Yes[ba];?;No;No;No;Yes;No;Reiser4;Linux;Yes;Yes;Yes;No;No;Reiser4;Yes;Yes(bo);Yes;Yes(bp);No;Yes;?;Testing(61);Reiser4;No;Yes with a kernel patch;?;No;No;?;No;?;?;?;?;?;No;Reiser4;3,976 bytes;Any byte except / and NUL;No limit defined[ca];8 TiB (8.796 TB) on x86;?;?
ReiserFS;ReiserFS;Namesys;2001;Linux;ReiserFS;Yes;Yes;No;Yes;Yes;No;Yes[l];Yes[l];Yes;No;ReiserFS;Yes;Yes;Yes[am];Yes;Yes;Yes;No;?;?;ReiserFS;No;No;No;No;No;No;No;No;ReiserFS;Linux;Yes;Yes;Yes;No;No;ReiserFS;Yes;Yes(bo);Yes;No;No;No;?;?;ReiserFS;No;Yes;?;No;No;?;Partial - Read Only from 6.0 to 10.x[78] and dropped in 11.0[79][80];?;with addon;?;?;?;No;ReiserFS;4,032 bytes/255 characters;Any byte except NUL or /[bz];No limit defined[ca];8 TiB (8.796 TB)[cw] (v3.6), 4 GiB (4.294 GB) (v3.5);16 TiB (17.59 TB);?
Rock Ridge;Rock Ridge;IEEE;1990 c.?1990;Unix;Rock Ridge;Yes;Yes;No;Yes[v];Yes;No;No[w];No[x];No[x];No;Rock Ridge;Yes;Yes;No;No;Yes;Yes;No;No;?;Rock Ridge;No;No;No[bh];No;No;No;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Rock Ridge;No;No;No;Yes(bs);No;No;No;No;Rock Ridge;No;Yes;Yes;No;No;No;Yes;No;No;Yes;Yes;?;No;Rock Ridge;255 bytes;Any byte except NUL or /[bz];No limit defined[ca];same as ISO 9660:1988;same as ISO 9660:1988;?
RT-11;NULL;NULL;NULL;NULL;RT-11;No;No;Yes (date only);No;No;No;No;No;No;Yes;RT-11;No;No;No;No;No;No;No;No;?;RT-11;No;No;No;No;No;No;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;RT-11;No;No;No;No;No;No;No;No;No;No;No;No;No;RT-11;44991;A–Z, 0–9, $;0 (no directory hierarchy);33,554,432 bytes (65536 * 512);33,554,432 bytes;?
RT-11 file;RT-11 file;DEC;1973;RT-11;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SpadFS;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;SpadFS;No;Yes;No;No;No;No;?;No;No;No;No;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL
SquashFS;SquashFS;Phillip Lougher, Robert Lougher;2002;Linux;SquashFS;Yes;Yes;No;No;Yes;No;No;Yes;Yes;No;SquashFS;Yes;Yes;No;No;Yes;Yes;No;No;?;SquashFS;No;No;Yes;Yes;No;No;Yes;No;SquashFS;Linux;No;No;No;No;No;SquashFS;Yes;No;Yes;No;No;No;No;No;SquashFS;No;Yes;Partial (There are ports of unsquashfs and mksquashfs.);No;Partial (There are ports of unsquashfs and mksquashfs.);No;Partial (There are ports of unsquashfs and mksquashfs and fusefs-port.[87][88]);No;No;No;No;No;No;SquashFS;256 bytes;?;No limit defined;16 EiB (18.44 EB);16 EiB (18.44 EB);?
UCSD p-System;UCSD p-System;UCSD;1978;UCSD p-System;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
UDF;UDF;ISO/ECMA/OSTA;1995;—;UDF;Yes;Yes;Yes;Yes;Yes;Yes;Yes;No;Yes;Yes;UDF;Yes;Yes;Yes[aj];Yes[aj];Yes;Yes;No;Yes;Yes[27];UDF;No;No;No;No;No;No;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;UDF;Yes;No;No;Yes;No;?(br);Yes, for write once read many media;No;UDF;No;Yes;Yes;?;Yes;?;Yes;?;?;?;Yes;?;No;UDF;255 bytes;Any Unicode except NUL;1,023 bytes[cx];16 EiB (18.44 EB);512 MiB (536.8 MB) to 16 TiB (17.59 TB);?
UFS1;UFS1;Kirk McKusick;1994;4.4BSD;UFS1;Yes;Yes;No;Yes;Yes;No;Yes[j];Yes[j];No[k];No;UFS1;Yes;Yes;No;No;Yes;Yes;No;No;No;UFS1;No;No;No;No;No;No;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;UFS1;Yes;8:1(bl);No;No;No;No;?;No;UFS1;No;Partial - read only;Yes;No;Partial (with ufs2tools, read only);?;Yes;No;?;?;Yes;?;No;UFS1;255 bytes;Any byte except NUL[bz];No limit defined[ca];16 GiB (17.17 GB) to 256 TiB (281.4 TB);16 EiB (18.44 EB);Subdirectory per directory is 32,767[112]
UFS2;UFS2;Kirk McKusick;2002;FreeBSD 5.0;UFS2;Yes;Yes;Yes;Yes;Yes;No;Yes[j];Yes[j];Yes;Partial;UFS2;Yes;Yes;No;Yes[ah] [21] [ai];Yes;Yes;No;?;No;UFS2;Yes;No;No;No;No;No;No;No;UFS2;FreeBSD;Yes;Yes (FreeBSD 10.0-RELEASE or later);No;No;No;UFS2;Yes;8:1(bl);No;No;Yes;No;?;Yes(58)(59);UFS2;No;Yes;Yes;No;Partial (with ufs2tools, read only);?;Yes;No;?;?;?;?;No;UFS2;255 bytes;Any byte except NUL[bz];No limit defined[ca];512 GiB (549.7 GB) to 32 PiB (36.02 PB);512 ZiB (604.4 ZB)[113] (279 bytes);Subdirectory per directory is 32,767[112]
UniFS;UniFS;Nasuni;2009;Cloud;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;UniFS;No limit defined (depends on client);?;No limit defined (depends on client);Available cache space at time of write (depends on platform);No limit defined;No limit defined
Version 6 Unix file system (V6FS);Version 6 Unix file system (V6FS);Bell Labs;1972;Version 6 Unix;Version 6 Unix file system (V6FS);Yes;Yes;No;Yes;No;No;No;No;No;No;Version 6 Unix file system (V6FS);Yes;No;No;No;Yes;Yes;No;No;No;Version 6 Unix file system (V6FS);No;No;No;No;No;No;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Version 6 Unix file system (V6FS);Yes;No;No;No;No;No;?;No;Version 6 Unix file system (V6FS);No;?;No;No;No;No;No;No;No;No;No;No;No;Version 6 Unix file system (V6FS);14 bytes;Any byte except NUL and /[bz];No limit defined[ca];16 MiB (16.77 MB)[cy];32 MiB (33.55 MB);?
Version 7 Unix file system (V7FS);Version 7 Unix file system (V7FS);Bell Labs;1979;Version 7 Unix;Version 7 Unix file system (V7FS);Yes;Yes;No;Yes;No;No;No;No;No;No;Version 7 Unix file system (V7FS);Yes;No[y];No;No;Yes;Yes;No;No;No;Version 7 Unix file system (V7FS);No;No;No;No;No;No;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Version 7 Unix file system (V7FS);Yes;No;No;No;No;No;?;No;Version 7 Unix file system (V7FS);No;Yes;No;No;No;No;No;No;?;?;?;No;No;Version 7 Unix file system (V7FS);14 bytes;Any byte except NUL or /[bz];No limit defined[ca];1 GiB (1.073 GB)[cz];2 TiB (2.199 TB);?
VMFS2;VMFS2;VMware;2002;VMware ESX Server 2.0;VMFS2;Yes;Yes;No;Yes;Yes;No;No;No;No;No;VMFS2;Yes;Yes;No;Yes;Yes;Yes;No;No;?;VMFS2;No;No;No;No;No;No;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;VMFS2;Yes;Yes;No;No;No;No;?;?;VMFS2;No;?;?;No;No;?;No;No;?;?;?;?;No;VMFS2;128;Any byte except NUL or /[bz];2,048;4 TiB (4.398 TB)[da];64 TiB (70.36 TB);?
VMFS3;VMFS3;VMware;2005;VMware ESX Server 3.0;VMFS3;Yes;Yes;No;Yes;Yes;No;No;No;No;No;VMFS3;Yes;Yes;No;Yes;Yes;Yes;No;No;?;VMFS3;No;No;No;No;No;No;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;VMFS3;Yes;Yes;No;No;No;No;?;?;VMFS3;No;?;?;No;No;?;No;No;?;?;?;?;No;VMFS3;128;Any byte except NUL or /[bz];2,048;2 TiB (2.199 TB)[da];64 TiB (70.36 TB);?
VMFS5;VMFS5;VMware;2011;vSphere 5.0+;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
VxFS;VxFS;VERITAS;1991;SVR4.0;VxFS;Yes;Yes;Yes;Yes;Yes;No;Yes;?;Yes[l];No;VxFS;Yes;Yes;Yes;No;Yes;Yes;Yes;?;?;VxFS;Yes[bb];No;Yes;No;No;No;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;VxFS;Yes;?;No;Yes;No;No;?;?;VxFS;No;Yes;?;No;No;?;No;No;?;?;Yes;?;No;VxFS;255 bytes;Any byte except NUL[bz];No limit defined[ca];16 EiB (18.44 EB);?;?
WAFL;WAFL;NetApp;1998;Data ONTAP;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
XFS;XFS;SGI;1994;IRIX;XFS;Yes;Yes;Partial[n];Yes;Yes;No;Yes;Yes[l];Yes;Yes;XFS;Yes;Yes;Yes;Yes;Yes[an];Yes;Yes;?;?;XFS;No;No;Yes[34];No[32];No;No;No;No;XFS;Linux;No;Yes;No[43];No[43];No;XFS;Yes;No;No;Yes;No;Yes;Yes, on request(62);Yes (Linux);XFS;No;Yes;?;No;No;?;Partial;?;with addon (read only);?;?;?;No;XFS;255 bytes[db];Any byte except NUL[bz];No limit defined[ca];8 EiB (9.223 EB)[dc];8 EiB (9.223 EB)[dc];?
Xiafs;Xiafs;Q. Frank Xia;1993;Linux;Xiafs;Yes;Yes;No;Yes;Yes;No;No;No;No;No;Xiafs;Yes;Yes;No;No;Yes;Yes;No;No;?;Xiafs;No;No;No;No;No;No;No;No;NULL;NULL;NULL;NULL;NULL;NULL;NULL;Xiafs;Yes;No;No;No;No;No;?;?;Xiafs;No;Yes - until 2.1.20;No;No;No;No;No;No;No;No;No;No;No;Xiafs;248 bytes;Any byte except NUL[bz];No limit defined[ca];64 MiB (67.10 MB);2 GiB (2.147 GB);?
z/FS;z/FS;IBM;2001;z/OS (backported to OS/390);NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
ZFS;ZFS;Sun Microsystems;2004;Solaris;ZFS;Yes;Yes;Yes;Yes;Yes;Yes;Yes;Yes[t];Yes[u];Yes;ZFS;Yes;Yes;Yes[at];No[at];Yes;Yes;No;No;?;ZFS;Yes;Yes[bc];Yes;Yes;Yes;Yes;Yes[bd];Yes;ZFS;misc.;No;Yes;No;Partial[52];Yes;ZFS;Yes;Yes;No;No;Yes;Yes;Yes;Yes;ZFS;No;Yes with FUSE[82] or as an external kernel module[83];Yes with Read/Write Developer Preview[84];No;Yes[85];No;Yes;No;No;No;Yes;No;No;ZFS;255 bytes;Any Unicode except NUL;No limit defined[ca];16 EiB (18.44 EB);281,474,976,710,656 YiB (2128 bytes);2128
